product_id,product_name,predicted_category,predicted_sub_category,category_confidence,sub_category_confidence,category_source,sub_category_source,needs_review
139340127-2,Angry Orchard Fall/Winter Mixed Pack-12pk-12oz Btls,Beer,Light Lager,1.0,0.2545,dataset,fallback,NO
2126239135-2,Angry Orchard Forbidden Fruit Apple Ginger Mule-4pk-12oz Cans,Beer,Light Lager,1.0,0.2424,dataset,fallback,NO
2126239133-2,Angry Orchard Forbidden Fruit Orchard Sangria-4pk-12oz Cans,Hard Beverage,Flavored Hard Beverages,1.0,0.3824,dataset,fallback,NO
134972126-2,Angry Orchard Green Apple Hard Cider-6pk-12oz Btls,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
960076797,Angry Orchard Hard Cider Crisp Apple Bottles - 12-12 Fl. Oz.,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
960064413,Angry Orchard Hard Cider Crisp Apple Bottles - 6-12 Fl. Oz.,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
960090530,Angry Orchard Hard Cider Crisp Apple Cans - 12-12 Fl. Oz.,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
970567203,Angry Orchard Hard Cider Crisp Imperial 6pk In Cans - 6-12 FZ,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
227038122-2,Angry Orchard Hard Cider Fall Variety Pack-12pk-12oz Cans,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
504707764,"Angry Orchard Hard Cider Seasonal Variety Pack, 12 Pack, 5% ABV, 12 fl oz Aluminum Cans",Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
0008769200821,Angry Orchard Hard Cider Summer Party Pack Variety Beer,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
19629954,Angry Orchard Hard Cider Summer Party Pack Variety Beer 12 fl oz,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
2126259364-2,Angry Orchard Hard Cider Winter Party Variety Pack-12pk-12oz Cans,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
3bff9d64-5db7-54f3-a1a1-1eb6411b5f8b,"Angry Orchard Hard Cider, Crisp Apple (6 x 12 fl oz)",Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
2126238739-2,Angry Orchard Imperial-6pk-12oz Btls,Hard Beverage,Flavored Hard Beverages,1.0,0.4151,dataset,fallback,NO
2126227424-2,Angry Orchard Imperial-6pk-12oz Cans,Hard Beverage,Flavored Hard Beverages,1.0,0.4151,dataset,fallback,NO
960485987,Angry Orchard Party Pack Seasonal Variety Hard Cider Cans - 12-12 Fl. Oz.,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
238148126-2,Angry Orchard Peach Mango Hard Cider-6pk-12oz Cans,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
190546126-2,Angry Orchard Rose-6pk-12oz Btls,Hard Beverage,Flavored Hard Beverages,1.0,0.4082,dataset,fallback,NO
124923127-2,Angry Orchard Spring/Summer Mixed Pack-12pk-12oz Btls,Beer,Classic Lager,1.0,0.3051,dataset,fallback,NO
341513121-2,Angry Orchard Tropical Fruit Cider-6pk-12oz Cans,Beer,Light Lager,1.0,0.3019,dataset,fallback,NO
2140897,BeatBox Blue Razzberry Punch 500 mL,Hard Beverage,Flavored Hard Beverages,1.0,0.92,dataset,keyword,NO
75398630,BeatBox® Blue Razzberry 500 ml,Hard Beverage,Flavored Hard Beverages,1.0,0.3913,dataset,fallback,NO
P1820061218,Busch 18 pack 12 oz cans,Beer,Classic Lager,1.0,0.3478,dataset,fallback,NO
2126279896-2,Corona Sunbrew-12pk-12oz Cans,Non-alcoholic Beer,Non-alcoholic Beer,1.0,0.2857,dataset,fallback,NO
16998544860,Cutwater Cocktails Gluten Free Vodka Transfusion Cans,Beer,Variety Packs,1.0,0.2727,dataset,fallback,NO
2126212575-2,Devils Backbone Orange Smash 7.5-4pk-12oz Cans,Hard Beverage,Flavored Hard Beverages,1.0,0.3492,dataset,fallback,NO
2126243807-2,Devils Backbone Orange Smash 7.5-8pk-12oz Cans,Hard Beverage,Flavored Hard Beverages,1.0,0.3492,batch_cache,fallback,YES
2126263438-2,Devils Backbone Peach Smash-4pk-12oz Cans,Hard Beverage,Flavored Hard Beverages,1.0,0.3103,dataset,fallback,NO
P81062803242,Golden Road Mango Cart Series 12 pack 12 oz cans,Beer,Classic Lager,1.0,0.4255,dataset,fallback,NO
P73692021479,Goose Island Bourbon County Stout 2025 Reserve Parker's Heritage 500ml bottle,Beer,Craft Beer,1.0,0.92,dataset,keyword,NO
0007289000305,Heineken® 0.0% Alcohol Free Cold Pressed Lime Flavored Brew,Non-alcoholic Beer,Non-alcoholic Beer,1.0,0.92,dataset,keyword,NO
P79603061496,"Kona Big Wave Golden Ale, 12 oz, 12 pk",Beer,Classic Lager,1.0,0.2857,dataset,fallback,NO
42231666608,Kona Big Wave Liquid Aloha Premium Golden Ale Cans,Beer,Classic Lager,1.0,0.3137,dataset,fallback,NO
15307857606,Lemon Lime Beats 6-pack (Non-Alcoholic Beer),Beer,Variety Packs,1.0,0.3019,dataset,fallback,NO
113055,Miller 64 Beer 12 pk Bottles 12 oz,Beer,Classic Lager,1.0,0.4,dataset,fallback,NO
c3286b6a-9fa2-5e89-8ef9-b7dcd79f379f,Modelo Chelada MangoyChile Flavored Beer 24oz Can,Beer,Classic Lager,1.0,0.3077,dataset,fallback,NO
2126274539-2,On The Rocks Sparkling Peach Cosmopolitan Canned Cocktail-4pk-12oz Cans,Hard Beverage,Flavored Hard Beverages,1.0,0.92,dataset,keyword,NO
2126274533-2,On The Rocks Tropical Cocktail Collection Variety Pack-8pk-12oz Cans,Beer,Variety Packs,1.0,0.92,dataset,keyword,NO
166254,Rolling Rock Premium Extra Pale Beer 12 pk Bottles 12 oz,Beer,Craft Beer,1.0,0.92,dataset,keyword,NO
P7143934030,"Rolling Rock, 12 oz, 30 pk",Beer,Light Lager,1.0,0.3846,dataset,fallback,NO
0001820024001,Stella Artois Cidre European Style Hard Cider 6 pk / 12 fl oz,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
960136091,Stella Artois Cidre European Style Hard Cider In Bottles - 6-12 Fl. Oz.,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
132350903-3,Stella Artois Cidre Hard Cider-1/6 Keg,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
132350127-2,Stella Artois Cidre Hard Cider-12pk-12oz Btls,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
132350126-2,Stella Artois Cidre Hard Cider-6pk-12oz Btls,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
60226901-3,Strongbow Cider-1/2 Keg,Beer,Light Lager,1.0,0.2759,dataset,fallback,NO
135861126-2,Strongbow Gold Hard Cider-6pk-12oz Btls,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
208967161-2,Strongbow Original Dry Hard Cider-4pk-16oz Cans,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
P81007878221,Topo Chico Hard Margarita Variety 12pk 12oz can,Hard Beverage,Hard Seltzers,1.0,0.92,dataset,keyword,NO
19998259684,Topo Chico Sabores Lime with Mint Extract 12oz 8pk,Non-alcoholic Beer,Non-alcoholic Beer,1.0,0.2222,dataset,fallback,NO
20088354266,"Topo Chico Sabores Lime with Mint Extract 12oz, 8pk",Non-alcoholic Beer,Non-alcoholic Beer,1.0,0.2143,batch_cache,fallback,YES
P2113618177,"Topo Chico Sabores Passionfruit Cans, 12 fl oz, 8 Pack",Non-alcoholic Beer,Non-alcoholic Beer,1.0,0.2308,dataset,fallback,NO
971319458,Topo Chico Sabores Raspberry Lemon - 12 Oz,Non-alcoholic Beer,Non-alcoholic Beer,1.0,0.2041,dataset,fallback,NO
41099348923,Topo Chico Sabores Tangerine with Ginger Extract Flavored Sparkling Water Cans,Beer,Classic Lager,1.0,0.2418,dataset,fallback,NO
70120623,Topo Chico® Sabores Passionfruit Sparkling Water Cans 12 oz,Non-alcoholic Beer,Non-alcoholic Beer,1.0,0.2121,dataset,fallback,NO
29167311,White Claw Blackberry Hard Seltzer,Hard Beverage,Hard Seltzers,1.0,0.92,dataset,keyword,NO
42018680303,White Claw Gluten Free Cranberry Surge Hard Seltzer Can (19.2 fl oz),Hard Beverage,Hard Seltzers,1.0,0.92,dataset,keyword,NO
2126276170-2,White Claw Pineapple 6 Pack Can-6pk-12oz Cans,Hard Beverage,Hard Seltzers,1.0,0.3111,dataset,fallback,NO
98169179,White Claw Surge Hard Seltzer Grape 19.2 fl oz,Hard Beverage,Hard Seltzers,1.0,0.92,dataset,keyword,NO
a3a17a42-167c-5521-81e0-3d8d69e7629b,"White Claw The Iconic Hard Seltzer Multi pack, Blackberry (6 x 12 fl oz)",Hard Beverage,Hard Seltzers,1.0,0.92,dataset,keyword,NO
149073123-3,Wicked Weed Pernicious IPA-24-12oz Cans,Beer,Craft Beer,1.0,0.92,dataset,keyword,NO
4310502215,152 Budweiser Bottle,Beer,Light Lager,1.0,0.2581,dataset,fallback,NO
4310502145,152 Budweiser Bottle,Beer,Light Lager,1.0,0.2581,batch_cache,fallback,YES
4310502201,152 Budweiser Bottle,Beer,Light Lager,1.0,0.2581,batch_cache,fallback,YES
4310502195,152 Budweiser Bottle,Beer,Light Lager,1.0,0.2581,batch_cache,fallback,YES
4652461880,152 Budweiser Chelada Bottle,Hard Beverage,Flavored Hard Beverages,1.0,0.3529,dataset,fallback,NO
4310502226,152 Budweiser Chelada Bottle,Hard Beverage,Flavored Hard Beverages,1.0,0.3529,batch_cache,fallback,YES
343454161-2,Alvarium Hurricane-4pk-16oz Cans,Hard Beverage,Ready to Drink,1.0,0.3,dataset,fallback,NO
2126263396-1,Beats Senses Mixed Berry-7.5oz Can,Hard Beverage,Hard Seltzers,1.0,0.3636,dataset,fallback,NO
25294299,"Beck's Beer 4 Pack, 16 fl oz 1 Cans, 5% ABV",Beer,Variety Packs,1.0,0.2857,dataset,fallback,NO
167816297,"Beck's Beer “Made in the USA with heavy gauge steel""",Beer,Classic Lager,1.0,0.2667,dataset,fallback,NO
189010510,Beck's German Beer Bottles - 6-12 Fl. Oz.,Beer,Classic Lager,1.0,0.3415,dataset,fallback,NO
21881880,"Beck's German Beer, 6 Pack Beer, 12 fl oz Glass Bottles, 4.8% ABV",Beer,Classic Lager,1.0,0.2692,dataset,fallback,NO
704654861,Beck's Imports Pilsner Bottles,Beer,Craft Beer,1.0,0.92,dataset,keyword,NO
P8248812700,"Beck's Non Alcoholic Beer, 12 oz, 6 pk",Beer,Classic Lager,1.0,0.3429,dataset,fallback,NO
d3236ba3-da79-567f-bd4d-df43786de36d,"Beck's Non-Alcoholic Beer (6ct, 12 oz)",Beer,Variety Packs,1.0,0.2927,dataset,fallback,NO
970119566,Beck's Pilsner Beer Bottle - 12 Fl. Oz.,Beer,Craft Beer,1.0,0.92,dataset,keyword,NO
189010772,Beck's Pilsner Beer Bottles - 12-12 Fl. Oz.,Beer,Craft Beer,1.0,0.92,batch_cache,keyword,YES
23623576,"Beck's Pilsner Beer, 12 pack 12 fl. oz. Glass Bottles, 5.0% ABV, 4.8% ABV",Non-alcoholic Beer,Non-alcoholic Beer,1.0,0.1538,dataset,fallback,NO
d7286a7e-7e3f-58e4-8576-a87be62716cb,Beck's Pure Malt Beer (12 x 12 fl oz),Beer,Variety Packs,1.0,0.4242,dataset,fallback,NO
8103ea24-7b1e-5bec-bcd4-5ed81aae3f28,Beck's Pure Malt Beer (12 x 12 fl oz),Beer,Variety Packs,1.0,0.4242,batch_cache,fallback,YES
80127-2,Beck's-12pk-12oz Btls,Beer,Variety Packs,1.0,0.3704,dataset,fallback,NO
80161-2,Beck's-4pk-16oz Cans,Beer,Variety Packs,1.0,0.3704,dataset,fallback,NO
80126-2,Beck's-6pk-12oz Btls,Beer,Variety Packs,1.0,0.3704,batch_cache,fallback,YES
233443608-2,Bitburger/Sierra Nevada Triple Hop'd Lager-6pk-11oz Cans,Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
960507106,Bud Ice Beer Bottle - 18 Fl. Oz.,Beer,Light Lager,1.0,0.2759,dataset,fallback,NO
19500035,"Bud Ice Beer, 6 Pack, 16 fl. oz. Can, 5.5% ABV",Beer,Variety Packs,1.0,0.2632,dataset,fallback,NO
15716418,"Bud Ice Cerveza Pack de 12 12 fl. Onz. Botellas, 5.5% Vol.",Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
6795d9f5-1fce-5447-b452-c4f932ce4e1c,Bud Ice Lager Beer (6 x 16 fl oz),Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
4310502196,Bud Ice Light Lager Cans,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
d70ccad5-ba18-55f6-b2a4-eb22745dc328,Bud Ice Premium American Lager Beer (25 fl oz),Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
1898251,"Bud Ice Premium Lager Beer, 3 pack 25 oz",Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
1059653,"Bud Ice Premium Lager Beer, 30 pack 12 oz",Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
741032,"Bud Ice Premium Lager Beer, 6 pack 16 oz",Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
4310502223,Bud Ice Premium Lager Bottle,Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
4310502212,Bud Ice Sub Premium American Lager Can,Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
30953732787,Bud Ice Sub Premium American Lager Can,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
34640173,Bud Ice® Lager Single Can 25 fl oz,Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
970492801,Bud Light 3.2% ABV Beer Keg - 15.5 Gallon,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960507124,Bud Light 4.2% ABV Beer In Cans - 24-10 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960088233,Bud Light 4.2% ABV Lime In Can - 25 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
4330097097,Bud Light 6 Pack Bottle (12 oz),Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960282207,Bud Light 6% ABV Platinum Beer In Aluminum Bottles - 8-16 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
0001820000833,Bud Light American Lager Beer,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
34a46073-0c25-5ac6-b0e2-e021393ec580,Bud Light American Lager Beer (8 x 16 fl oz),Beer,Light Lager,1.0,0.92,dataset,keyword,NO
45114,Bud Light American Lager Beer 12 fl oz,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
31088-2,Bud Light American Lager Beer 7.5oz-12-7.5oz cans,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
31084-3,Bud Light American Lager Beer 7.5oz-24-7.5cans,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
189010657,Bud Light American Lager Beer Bottles - 18 - 12 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960063657,Bud Light American Lager Beer in Aluminum Bottles - 15 - 16 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
970119539,Bud Light American Lager Beer in Bottle - 12 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
189013284,Bud Light American Lager Beer in Bottle - 20 - 12 Fl. Oz.,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
189012867,Bud Light American Lager Beer in Bottles - 12 - 12 Fl. Oz.,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
960143210,Bud Light American Lager Beer in Bottles - 12 - 16 Fl. Oz.,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
960143608,Bud Light American Lager Beer in Bottles - 20 - 16 Fl. Oz.,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
189010147,Bud Light American Lager Beer in Bottles - 24 - 12 Fl. Oz.,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
189010385,Bud Light American Lager Beer in Bottles - 6 - 12 Fl. Oz.,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
960088366,Bud Light American Lager Beer in Can - 25 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
189010281,Bud Light American Lager Beer in Cans - 12 - 12 Fl. Oz.,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
960464919,Bud Light American Lager Beer in Cans - 12 - 16 Fl. Oz.,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
960144551,Bud Light American Lager Beer in Cans - 15 - 16 Fl. Oz.,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
189010175,Bud Light American Lager Beer in Cans - 18 - 12 Fl. Oz.,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
960173968,Bud Light American Lager Beer in Cans - 24 - 16 Fl. Oz.,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
960088277,Bud Light American Lager Beer in Cans - 3 - 25 Fl. Oz.,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
189011044,Bud Light American Lager Beer in Cans - 30 - 12 Fl. Oz.,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
189010595,Bud Light American Lager Beer in Cans - 6 - 16 Fl. Oz.,Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
960044393,Bud Light American Lager Beer in Cans - 8 - 16 Fl. Oz.,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
189011596,Bud Light American Lager Beer in Cans 24 - 12 Fl. Oz.,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
31901-3,Bud Light American Lager Beer-1/2 Keg,Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
31195-2,Bud Light American Lager Beer-12-16ozAlmBtl,Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
31151-3,Bud Light American Lager Beer-15-16oz AlmBtls,Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
31158-3,Bud Light American Lager Beer-18-16oz Cans,Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
31198-3,Bud Light American Lager Beer-20-16ozAlmBtl,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
31110-3,Bud Light American Lager Beer-24-10oz Can,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
31264-3,Bud Light American Lager Beer-24-16oz AlmBtls,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
311171-3,Bud Light American Lager Beer-24-16oz Cans,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
31224-1,Bud Light American Lager Beer-25oz Can,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
31164-2,Bud Light American Lager Beer-6pk-16oz Cans,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
31076-2,Bud Light American Lager Beer-6pk-7oz Btls,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
31861-2,Bud Light American Lager Beer-8pk-16oz AlmBtls,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
0001820096538,Bud Light American Light Lager Beer,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
0001820053218,Bud Light American Light Lager Beer,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
0001820028140,Bud Light American Light Lager Beer,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
0001820000795,Bud Light American Light Lager Beer,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
0001820053308,Bud Light American Light Lager Beer,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
0001820000769,Bud Light American Light Lager Beer,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
0001820025001,Bud Light American Light Lager Beer,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
0001820053349,Bud Light American Light Lager Beer,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
0001820053047,Bud Light American Light Lager Beer,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
0001820008989,Bud Light American Light Lager Beer,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
0001820053168,Bud Light American Light Lager Beer,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
361,Bud Light American Light Lager Beer 12 fl oz,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
100312,Bud Light American Light Lager Beer 12 fl oz,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
45063,Bud Light American Light Lager Beer 12 fl oz,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
95167,Bud Light American Light Lager Beer 12 fl oz,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
210490,Bud Light American Light Lager Beer 16 fl oz,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
189010721,Bud Light Beer 4.2% ABV In Bottle - 40 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960507105,Bud Light Beer Bottle - 18 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
189010336,Bud Light Beer Bottles - 6-7 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960090199,Bud Light Beer Bottles - 8-16 Fl. Oz.,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
189010165,Bud Light Beer Bottles Wide Mouth - 4-16 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
16547972,Bud Light Beer Cans,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960173936,Bud Light Beer In Bottle - 32 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960063905,Bud Light Beer In Cans - 12-8 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960056884,Bud Light Beer In Cans - 20-12 Fl. Oz.,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
960126186,Bud Light Extra Lime Chelada - 25 Fl. Oz.,Hard Beverage,Hard Seltzers,1.0,0.3556,dataset,fallback,NO
970027003,Bud Light Fuego Beer - 25 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
237545198-3,Bud Light LSU Alum Bottle-20-16ozAlmBtl,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
0001820053030,Bud Light Lager Beer 30 cans / 12 fl oz,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
4330097082,Bud Light Lager Can (12 oz x 12 ct),Beer,Light Lager,1.0,0.92,dataset,keyword,NO
4330097100,Bud Light Lager Can (25 oz x 3 ct),Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
4330077058,Bud Light Lager Cans (12 oz x 18 ct),Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
960545499,Bud Light Lemonade Cans - 12-12 Fl. Oz.,Hard Beverage,Flavored Hard Beverages,1.0,0.92,dataset,keyword,NO
595662583,Bud Light Lemonade Lemonade Domestic Beer 12 Pack 12 fl oz Aluminum Cans 4.2% ABV,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
233512740-1,Bud Light Lemonade-25oz Can,Hard Beverage,Flavored Hard Beverages,1.0,0.92,dataset,keyword,NO
970461309,Bud Light Lime American Lager Beer in Bottle - 12 Fl. Oz.,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
960013721,Bud Light Lime American Lager Beer in Bottles - 12 - 12 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960013370,Bud Light Lime American Lager Beer in Bottles - 30 - 12 Fl. Oz.,Beer,Light Lager,1.0,0.92,batch_cache,keyword,YES
960024012,Bud Light Lime American Lager Beer in Cans - 12 - 12 Fl. Oz.,Beer,Classic Lager,1.0,0.92,dataset,keyword,NO
960037489,Bud Light Lime American Lager Beer in Cans - 18 - 12 Fl. Oz.,Beer,Classic Lager,1.0,0.92,batch_cache,keyword,YES
960282206,Bud Light Lime Beer 4.2% ABV In Aluminum Bottles - 8-16 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960037845,Bud Light Lime Beer In Bottles - 18-12 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
960224037,Bud Light Lime Beer In Cans - 24-12 Fl. Oz.,Beer,Light Lager,1.0,0.92,dataset,keyword,NO
0001820025533,Bud Light Lime Mang-O-Rita Sparkling Margarita 25 fl oz,Hard Beverage,Flavored Hard Beverages,1.0,0.2899,dataset,fallback,NO
